session,participant_id,bug,start,end,region1_percent,region1_gaze_count,region1_name,region1_topleft,region1_bottomright,region2_percent,region2_gaze_count,region2_name,region2_topleft,region2_bottomright,region3_percent,region3_gaze_count,region3_name,region3_topleft,region3_bottomright,region4_percent,region4_gaze_count,region4_name,region4_topleft,region4_bottomright,Note,out_of_bounds,no_x_y,total_gazes
p4_ladybug,p4,ladybug,7:43,end,47%,44415,report,"(714,70)","-1,920,587",31%,29551,code_fileExplorer,"(0,70)","-7,141,080",10%,9240,AI,"-714,587","-19,201,080",0%,,,,,expanded AI more,365,11068,94639
p4_praying_mantis,p4,praying_mantis,start,end,34%,56060,report,"(924,70)","-1,920,730",55%,90319,code_fileExplorer,"(0,70)","-9,241,080",4%,7112,iTrace,"-924,730","-19,201,080",0%,,,,,expanded file Explorer side and looked at code on that side (left side),746,11273,165510
p4_stonefly,p4,stonefly,start,end,33%,58002,report,"(798,70)","-1,920,750",53%,92791,code_fileExplorer,"(0,70)","-7,981,080",6%,11098,AI,"-798,750","-19,201,080",0%,,,,,expanded file Explorer side and looked at code on that side (left side),652,13660,176203
p4_weevil,p4,weevil,start,end,28%,24528,report,"(924,70)","-1,920,720",62%,55298,code_fileExplorer,"(0,70)","-9,241,080",1%,1089,iTrace,"-924,720","-19,201,080",0%,,,,,,614,7549,89078
p4 total AI ,4.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p5_firefly,p5,firefly,start,end,10%,14562,fileExplorer,"(0,70)","-4,681,080",45%,67174,report,"(468,70)","-1,180,724",24%,35778,code,"(1180,70)","-1,920,724",15%,21821,AI,"-468,724","-19,201,080","split into code and report. Report is always on right side in other bugs, so assuming that is the case for this bug, however, this video freezes pretty early in. ",1527,8806,149668
p5_ladybug,p5,ladybug,start,4:00,21%,5980,fileExplorer,"(0,70)","-3,751,080",52%,15044,report,"(375,70)","-995,720",23%,6605,code,"(995,70)","-1,920,720",1%,178,AI,"-375,720","-19,201,080","there was quite a bit of configuring before the 4 min mark, but I am not going to put all those tiny changes in. at this point, the file explorer is skinnier than it will be later. ",14,981,28802
p5_ladybug,p5,ladybug,4:00,end,22%,35163,fileExplorer,"(0,70)","-6,271,080",27%,42638,report,"(627,70)","-1,145,726",33%,52494,code,"(1145,70)","-1,920,726",9%,14533,AI,"-627,726","-19,201,080",not sure what happened much after the 4 min mark since video froze,457,12393,157678
p5_stonefly,p5,stonefly,start,end,4%,9530,fileExplorer,"(0,70)","-4,681,080",28%,69941,report,"(468,70)","-1,095,725",56%,139294,code,"(1095,70)","-1,920,725",5%,11770,AI,"-468,725","-19,201,080",,2595,17576,250706
p5_weevil,p5,weevil,start,end,9%,6790,fileExplorer,"(0,70)","-3,261,080",67%,48297,code_report,"(326,70)","-1,018,725",11%,7604,code_report,"(1018,70)","-1,920,725",1%,830,AI,"-326,725","-19,201,080",,1938,6324,71783
p5 total AI ,7.46%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p6_ladybug,p6,ladybug,start,end,11%,14275,fileExplorer,"(0,70)","-4,901,080",81%,102586,code_report,"(490,70)","-1,920,786",1%,1079,AI,"-490,786","-19,201,080",0%,,,,,,4389,3711,126040
p6_firefly,p6,firefly,start,end,22%,36933,fileExplorer,"(0,70)","-4,901,080",75%,122550,code_report,"(490,70)","-1,920,780",1%,1409,iTrace,"-490,780","-19,201,080",0%,,,,,,619,2911,164422
p6_praying_mantis,p6,praying_mantis,start,end,10%,6899,fileExplorer,"(0,70)","-4,901,080",85%,56434,code_report,"(490,70)","-1,920,780",1%,435,iTrace,"-490,780","-19,201,080",0%,,,,,,147,2602,66517
p6_spider,p6,spider,start,end,18%,12915,fileExplorer,"(0,70)","-4,901,080",76%,54026,code_report,"(490,70)","-1,920,780",1%,390,iTrace,"-490,780","-19,201,080",0%,,,,,,967,2532,70830
p6_stonefly,p6,stonefly,start,end,17%,16018,fileExplorer,"(0,70)","-4,901,080",77%,72997,code_report,"(490,70)","-1,920,786",1%,509,iTrace,"-490,786","-19,201,080",0%,,,,,,2362,2709,94595
p6_weevil,p6,weevil,start,end,8%,4870,fileExplorer,"(0,70)","-4,901,080",85%,53663,code_report,"(490,70)","-1,920,780",1%,561,iTrace,"-490,780","-19,201,080",0%,,,,,,947,2757,62798
p6 total AI ,0.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p7_ladybug,p7,ladybug,start,end,2%,5054,fileExplorer,"(0,70)","-4,901,080",17%,38161,code_report,"(490,70)","-1,920,755",0%,309,AI,"-490,755","-19,201,080",0%,,,,,,120,177510,221154
