MouseMove,134021657657484819,205,288
MouseMove,134021657657538868,210,286
MouseMove,134021657657618605,221,284
MouseMove,134021657657698840,231,280
MouseMove,134021657657778700,244,277
MouseMove,134021657657858550,262,271
MouseMove,134021657657941689,284,265
MouseMove,134021657658018897,305,261
MouseMove,134021657658098478,326,255
MouseMove,134021657658178652,343,250
MouseMove,134021657658258866,363,241
MouseMove,134021657658338575,374,235
MouseMove,134021657658418818,386,229
MouseMove,134021657658501123,397,219
MouseMove,134021657658579795,406,213
MouseMove,134021657658658569,415,204
MouseMove,134021657658738636,420,198
MouseMove,134021657658818382,426,188
MouseMove,134021657658898611,431,185
MouseMove,134021657658978463,435,182
MouseMove,134021657659058175,438,179
MouseMove,134021657659138486,442,175
MouseMove,134021657659218499,443,173
MouseMove,134021657659298560,445,171
MouseMove,134021657659378268,445,170
MouseMove,134021657659462254,445,168
session_start,638932889656072594,1757692165607,C:\Users\emory\Desktop\Participant16\stonefly
gaze,134021657659515377,189,303
MouseMove,134021657659538713,445,166
MouseMove,134021657659619101,445,164
gaze,134021657659641300,192,300
MouseMove,134021657659699326,445,163
gaze,134021657659795044,194,300
MouseMove,134021657659796564,445,162
MouseMove,134021657659858363,445,160
gaze,134021657659881285,189,292
MouseMove,134021657659941607,445,159
MouseMove,134021657660022709,445,158
MouseMove,134021657660098589,445,157
MouseMove,134021657660178603,446,157
gaze,134021657660254296,200,300
MouseMove,134021657660260377,447,155
MouseMove,134021657660338373,447,154
gaze,134021657660368803,186,299
MouseMove,134021657660418684,447,153
gaze,134021657660418119,249,296
gaze,134021657660479762,361,267
MouseMove,134021657660502704,447,153
gaze,134021657660531086,393,254
MouseMove,134021657660578454,447,152
gaze,134021657660586929,411,250
MouseMove,134021657660658329,449,151
gaze,134021657660715868,405,247
MouseMove,134021657660738763,453,150
gaze,134021657660774831,407,256
MouseMove,134021657660819221,458,149
gaze,134021657660861518,404,238
MouseMove,134021657660900859,465,146
gaze,134021657660942019,408,237
MouseMove,134021657660980459,470,145
gaze,134021657661026638,401,233
MouseMove,134021657661058507,474,142
gaze,134021657661107956,390,236
MouseMove,134021657661140192,479,142
gaze,134021657661194017,395,232
MouseMove,134021657661219862,481,140
gaze,134021657661274624,391,240
MouseMove,134021657661298314,485,137
gaze,134021657661360578,391,240
MouseMove,134021657661378263,489,134
gaze,134021657661441149,396,236
MouseMove,134021657661458251,489,133
gaze,134021657661517143,388,242
MouseMove,134021657661538224,491,130
gaze,134021657661610010,389,243
MouseMove,134021657661618364,492,128
gaze,134021657661692857,392,241
MouseMove,134021657661700465,494,126
gaze,134021657661775440,384,226
MouseMove,134021657661779164,496,123
MouseMove,134021657661859113,498,121
gaze,134021657661859313,392,244
MouseMove,134021657661939019,500,118
gaze,134021657661943630,392,241
MouseMove,134021657662019099,501,115
gaze,134021657662025538,394,246
MouseMove,134021657662098256,503,113
gaze,134021657662117104,385,237
MouseMove,134021657662179419,503,110
gaze,134021657662191348,386,231
MouseMove,134021657662258669,504,108
gaze,134021657662277681,388,236
MouseMove,134021657662343204,504,107
gaze,134021657662358801,390,240
MouseMove,134021657662418855,505,105
gaze,134021657662433470,383,232
gaze,134021657662488986,381,237
MouseMove,134021657662499523,505,104
gaze,134021657662570751,384,240
MouseMove,134021657662578602,505,103
MouseMove,134021657662658720,505,101
gaze,134021657662716629,380,232
MouseMove,134021657662738213,506,100
gaze,134021657662774821,385,241
gaze,134021657662859759,409,207
gaze,134021657662943435,442,179
MouseMove,134021657662963879,506,100
MouseMove,134021657662971213,506,99
MouseMove,134021657662980027,506,98
gaze,134021657663026858,437,172
MouseMove,134021657663059227,506,98
gaze,134021657663109027,447,171
MouseMove,134021657663138015,506,97
gaze,134021657663192236,441,165
MouseMove,134021657663218211,506,96
gaze,134021657663275623,435,169
gaze,134021657663359298,437,162
MouseMove,134021657663378669,506,95
gaze,134021657663441916,439,160
gaze,134021657663515159,434,166
gaze,134021657663610154,438,156
gaze,134021657663692657,433,159
gaze,134021657663783459,437,166
gaze,134021657663860619,437,161
gaze,134021657663944358,438,156
gaze,134021657664026707,444,163
gaze,134021657664109792,439,162
gaze,134021657664192454,440,164
gaze,134021657664275408,435,164
gaze,134021657664359276,437,160
gaze,134021657664432889,444,164
gaze,134021657664489275,436,153
gaze,134021657664570899,440,162
LeftMouseDown,134021657664579223
gaze,134021657664691872,442,147
gaze,134021657664775256,438,159
gaze,134021657664859009,444,159
gaze,134021657664942484,441,153
gaze,134021657665026153,438,156
gaze,134021657665112465,435,155
gaze,134021657665193111,435,152
gaze,134021657665278858,432,162
gaze,134021657665359191,439,161
gaze,134021657665452592,437,164
gaze,134021657665522202,443,163
gaze,134021657665605881,437,164
LeftMouseUp,134021657665619892
gaze,134021657665693511,435,160
gaze,134021657665775422,436,156
gaze,134021657665858665,431,157
gaze,134021657665942344,439,168
gaze,134021657666027554,436,162
gaze,134021657666109395,431,166
gaze,134021657666192926,439,156
gaze,134021657666276871,433,159
gaze,134021657666370630,437,153
gaze,134021657666437848,437,155
gaze,134021657666502742,432,150
gaze,134021657666572462,441,150
gaze,134021657666693023,443,160
gaze,134021657666785510,437,161
gaze,134021657666859078,435,147
gaze,134021657666942528,443,157
gaze,134021657667025958,437,151
gaze,134021657667109509,435,154
gaze,134021657667193109,437,160
gaze,134021657667276583,437,164
gaze,134021657667359619,441,161
gaze,134021657667442783,442,164
gaze,134021657667519829,435,169
MouseMove,134021657667544592,509,95
gaze,134021657667605109,436,165
MouseMove,134021657667618003,511,97
gaze,134021657667694224,437,168
MouseMove,134021657667701155,515,101
gaze,134021657667776458,439,165
MouseMove,134021657667778897,519,106
MouseMove,134021657667859331,525,113
gaze,134021657667859807,443,164
MouseMove,134021657667938432,530,118
gaze,134021657667942808,445,159
MouseMove,134021657668018566,537,127
gaze,134021657668026154,440,152
MouseMove,134021657668099329,543,133
gaze,134021657668110181,443,159
MouseMove,134021657668181682,549,142
gaze,134021657668192749,441,159
MouseMove,134021657668259516,557,150
gaze,134021657668276263,432,155
MouseMove,134021657668341353,565,159
gaze,134021657668359007,435,155
MouseMove,134021657668419433,574,169
gaze,134021657668437273,435,159
MouseMove,134021657668498989,584,181
gaze,134021657668502707,433,165
gaze,134021657668572494,431,158
MouseMove,134021657668583139,593,191
gaze,134021657668655297,434,166
MouseMove,134021657668660231,604,203
MouseMove,134021657668739784,616,214
gaze,134021657668799768,436,150
MouseMove,134021657668820398,624,223
gaze,134021657668858542,431,151
MouseMove,134021657668898496,633,233
gaze,134021657668944825,426,148
MouseMove,134021657668978494,643,245
gaze,134021657669025868,434,159
MouseMove,134021657669058566,653,253
gaze,134021657669110737,432,156
MouseMove,134021657669140445,662,263
gaze,134021657669192298,431,156
MouseMove,134021657669218406,672,275
gaze,134021657669277520,430,160
MouseMove,134021657669298928,679,285
gaze,134021657669359357,428,158
MouseMove,134021657669378327,688,295
gaze,134021657669445701,427,151
MouseMove,134021657669460766,696,305
gaze,134021657669525778,427,158
MouseMove,134021657669538856,704,314
gaze,134021657669600214,431,162
MouseMove,134021657669618692,711,323
gaze,134021657669693910,426,162
MouseMove,134021657669701126,722,332
gaze,134021657669776845,433,160
MouseMove,134021657669778874,728,337
MouseMove,134021657669858873,734,342
gaze,134021657669859518,432,155
MouseMove,134021657669938093,736,344
